model,id,kategori,zorluk,girdi,beklenen,tahmin_ozet,avg_score,avg_latency_ms,avg_tokens,run_scores
GPT-4o,1,anomali_tespiti,kolay,Kullanıcı 'ahmet.yilmaz' mesai saatleri içinde (09:00-18:00) şirket VPN'ine bağlandı ve CRM sistemin...,NORMAL,"1. Karar: NORMAL
2. Risk Seviyesi: DÜŞÜK
3. Gerekçe: Kullanıcı mesai saatleri içinde ve daha önce de gözlemlenmiş bir pattern ile şirket VPN'ine bağla...",1.0,2217.8,312.0,"[1.0, 1.0, 1.0]"
GPT-4o,2,anomali_tespiti,kolay,Kullanıcı 'mehmet.kaya' gece 03:15'te sistemlere erişmeye çalıştı. Kullanıcının geçmiş erişim loglar...,ANOMALİ,"1. Karar: ANOMALİ
2. Risk Seviyesi: YÜKSEK
3. Gerekçe: Kullanıcının alışılmadık bir saatte ve daha önce kullanılmamış bir lokasyondan erişim denemesi,...",1.0,3232.7,346.3,"[1.0, 1.0, 1.0]"
GPT-4o,3,anomali_tespiti,kolay,Servis hesabı 'svc-backup' her gece 02:00'de otomatik yedekleme işlemi gerçekleştiriyor. Bu işlem 6 ...,NORMAL,"1. Karar: NORMAL
2. Risk Seviyesi: DÜŞÜK
3. Gerekçe: 'svc-backup' hesabı, belirli bir zaman diliminde düzenli olarak yedekleme işlemi gerçekleştiriyor...",1.0,1792.4,312.7,"[1.0, 1.0, 1.0]"
GPT-4o,4,anomali_tespiti,kolay,Kullanıcı 'ali.demir' 5 dakika içinde 500 kez başarısız giriş denemesi yaptı. Her denemede farklı şi...,ANOMALİ,"1. Karar: ANOMALİ
2. Risk Seviyesi: YÜKSEK
3. Gerekçe: Kısa süre içinde çok sayıda başarısız giriş denemesi, genellikle brute force saldırılarına işar...",1.0,2273.4,303.7,"[1.0, 1.0, 1.0]"
GPT-4o,5,anomali_tespiti,kolay,IT yöneticisi 'admin.user' mesai saatlerinde Active Directory'de yeni kullanıcı hesabı oluşturdu. Bu...,NORMAL,"1. Karar: NORMAL
2. Risk Seviyesi: DÜŞÜK
3. Gerekçe: IT yöneticisinin mesai saatlerinde Active Directory'de yeni kullanıcı hesabı oluşturması, haftalı...",1.0,1369.8,283.7,"[1.0, 1.0, 1.0]"
GPT-4o,6,anomali_tespiti,orta,Kullanıcı 'fatma.ozturk' normalde sadece muhasebe sistemine erişiyor. Bugün ilk kez üretim veritaban...,ANOMALİ,"1. Karar: ANOMALİ
2. Risk Seviyesi: ORTA
3. Gerekçe: Kullanıcı 'fatma.ozturk' normalde muhasebe sistemine erişiyor ve ilk kez üretim veritabanına eriş...",1.0,1801.9,369.7,"[1.0, 1.0, 1.0]"
GPT-4o,7,anomali_tespiti,orta,Kullanıcı 'can.arslan' İstanbul'dan saat 10:00'da sisteme giriş yaptı. Aynı kullanıcı 2 saat sonra L...,ANOMALİ,"1. Karar: ANOMALİ
2. Risk Seviyesi: YÜKSEK
3. Gerekçe: Kullanıcının iki saat içinde İstanbul'dan Londra'ya fiziksel olarak seyahat etmesi mümkün değil...",1.0,1477.7,331.3,"[1.0, 1.0, 1.0]"
GPT-4o,16,yetki_analizi,kolay,Stajyer 'selin.ak' tüm üretim sunucularına root erişimine sahip. Görevi sadece test ortamında fronte...,AŞIRI YETKİ,"1. Karar: POLİTİKA İHLALİ
2. Risk Seviyesi: YÜKSEK
3. Gerekçe: Stajyerin görevi test ortamında frontend geliştirme yapmakken, üretim sunucularına root...",0.0,2035.7,317.7,"[0.0, 0.0, 0.0]"
GPT-4o,17,yetki_analizi,kolay,Muhasebe uzmanı 'ayse.kara' yalnızca muhasebe modülüne okuma/yazma erişimine sahip. Diğer sistemlere...,UYGUN YETKİ,"1. Karar: NORMAL
2. Risk Seviyesi: DÜŞÜK
3. Gerekçe: 'ayse.kara' yalnızca iş tanımına uygun olan muhasebe modülüne erişime sahip ve bu erişim okuma/ya...",1.0,1774.0,301.0,"[1.0, 1.0, 1.0]"
GPT-4o,18,yetki_analizi,kolay,2 yıl önce başka departmana geçen kullanıcı 'kemal.yilmaz' eski departmanının sistemlerine hala tam ...,AŞIRI YETKİ,"1. Karar: POLİTİKA İHLALİ
2. Risk Seviyesi: YÜKSEK
3. Gerekçe: Kullanıcının eski departmanındaki sistemlere hala erişimi olması, gereksiz ve potansiye...",0.0,2111.5,333.7,"[0.0, 0.0, 0.0]"
GPT-4o,19,yetki_analizi,orta,DevOps mühendisi 'ozan.cetin' üretim ortamına deploy yetkisine sahip ancak veritabanına doğrudan eri...,UYGUN YETKİ,"1. Karar: NORMAL
2. Risk Seviyesi: DÜŞÜK
3. Gerekçe: DevOps mühendisi, üretim ortamına deploy yetkisine sahip olması normaldir ve doğrudan veritabanı ...",0.0,1698.6,322.3,"[0.0, 0.0, 0.0]"
GPT-4o,20,yetki_analizi,orta,"Satış temsilcisi 'deniz.ak' tüm müşteri verilerini görebiliyor, düzenleyebiliyor ve silebiliyor. Gör...",AŞIRI YETKİ,"1. Karar: POLİTİKA İHLALİ
2. Risk Seviyesi: YÜKSEK
3. Gerekçe: Satış temsilcisinin görev tanımı, müşteri verilerini düzenleme veya silme yetkisini ger...",0.0,2075.5,328.0,"[0.0, 0.0, 0.0]"
GPT-4o,21,yetki_analizi,orta,Güvenlik denetçisi 'cem.ozkan' tüm sistemlerin loglarına salt okunur erişime sahip. Hiçbir sistemi d...,UYGUN YETKİ,"1. Karar: NORMAL
2. Risk Seviyesi: DÜŞÜK
3. Gerekçe: 'cem.ozkan' sadece salt okunur erişime sahip olduğundan, sistemlerde değişiklik yapma yetkisi yok...",0.0,1693.3,297.0,"[0.0, 0.0, 0.0]"
GPT-4o,22,yetki_analizi,zor,Proje müdürü 'bora.arslan' projeyle ilgili tüm sistemlere geçici erişim aldı. Proje 6 ay önce tamaml...,AŞIRI YETKİ,"1. Karar: POLİTİKA İHLALİ
2. Risk Seviyesi: ORTA
3. Gerekçe: Proje tamamlandıktan sonra erişim yetkilerinin gözden geçirilmemesi, gereksiz erişimlerin...",0.0,1906.6,326.7,"[0.0, 0.0, 0.0]"
GPT-4o,24,politika_uyum,kolay,Şirket politikası: Tüm ayrıcalıklı hesaplar (admin) MFA kullanmak zorunda. Kullanıcı 'admin.celik' M...,POLİTİKA İHLALİ,"1. Karar: POLİTİKA İHLALİ
2. Risk Seviyesi: YÜKSEK
3. Gerekçe: Ayrıcalıklı hesapların MFA kullanması zorunludur ve bu ihlal, hesapların yetkisiz erişi...",1.0,2016.3,321.7,"[1.0, 1.0, 1.0]"
GPT-4o,25,politika_uyum,kolay,Şirket politikası: Şifreler 90 günde bir değiştirilmeli. Kullanıcı 'tuba.sahin' şifresini 85 günde d...,POLİTİKAYA UYGUN,"1. Karar: NORMAL
2. Risk Seviyesi: DÜŞÜK
3. Gerekçe: Kullanıcı, şirket politikasına uygun olarak şifresini 90 gün içinde değiştirmiştir.
4. Önerilen A...",1.0,1183.4,279.0,"[1.0, 1.0, 1.0]"
GPT-4o,26,politika_uyum,kolay,Şirket politikası: Gizli veriler şifreli kanallar üzerinden iletilmeli. Kullanıcı müşteri verilerini...,POLİTİKA İHLALİ,"1. Karar: POLİTİKA İHLALİ
2. Risk Seviyesi: YÜKSEK
3. Gerekçe: Gizli müşteri verilerinin şifresiz bir kanal üzerinden iletilmesi, verilerin üçüncü şah...",1.0,2037.5,314.3,"[1.0, 1.0, 1.0]"
GPT-4o,27,politika_uyum,orta,Politika: Üçüncü taraf tedarikçiler yalnızca iş saatleri içinde (08:00-18:00) ve onaylı IP aralığınd...,POLİTİKAYA UYGUN,"1. Karar: NORMAL
2. Risk Seviyesi: DÜŞÜK
3. Gerekçe: Tedarikçi 'vendor_xyz', iş saatleri içinde ve onaylı IP aralığından erişim sağladığı için politik...",0.0,1397.1,306.7,"[0.0, 0.0, 0.0]"
